timestamp,AAPL,AMZN,MSFT
1999-01-29,0.3117302,2.923438,27.12334
1999-02-01,0.309838,2.896875,26.80367
1999-02-02,0.296593,2.75625,25.98028
1999-02-03,0.3041616,3.14375,25.85435
1999-02-04,0.2866593,2.95,24.65318
1999-02-05,0.2748334,2.896875,24.79848
1999-02-08,0.2857132,2.728125,25.61218
1999-02-09,0.2814559,2.5,24.80817
1999-02-10,0.2899705,2.435938,24.89535
1999-02-11,0.2999043,2.746875,25.2247
1999-02-12,0.2852402,2.6125,24.44975
1999-02-16,0.2899705,2.465625,24.21726
1999-02-17,0.2800368,2.3375,23.24857
1999-02-18,0.2724682,2.2375,22.58986
1999-02-19,0.2814559,2.546875,22.89985
1999-02-22,0.2909166,2.6625,23.06452
1999-02-23,0.2909166,2.879688,24.09134
1999-02-24,0.2833481,2.773438,23.69417
1999-02-25,0.2795638,3.125,23.79104
1999-02-26,0.2634806,3.203125,23.26795
1999-03-01,0.255439,3.325,23.51981
1999-03-02,0.2620615,3.032813,23.02578
1999-03-03,0.2587502,3.0875,23.19045
1999-03-04,0.2530738,3.003125,23.5973
1999-03-05,0.2511817,3.0375,24.01384
1999-03-08,0.2601693,3.054688,24.64349
1999-03-09,0.2582772,3.248438,25.0794
1999-03-10,0.2464513,3.428125,25.01159
1999-03-11,0.2436131,3.371875,25.02128
1999-03-12,0.2511817,3.332813,24.82754
1999-03-15,0.2578042,3.473438,25.70905
1999-03-16,0.268684,3.345313,26.20308
1999-03-17,0.2578042,3.275,25.90279
1999-03-18,0.268684,3.460938,26.72617
1999-03-19,0.2535468,3.376563,26.53243
1999-03-22,0.2653727,3.3,26.78429
1999-03-23,0.2497626,2.984375,25.8156
1999-03-24,0.2549659,3.092188,26.54212
1999-03-25,0.255912,3.496875,27.8886
1999-03-26,0.2516547,3.476563,27.60768
1999-03-29,0.2677379,3.740625,28.63449
1999-03-30,0.2715222,4.117188,28.82823
1999-03-31,0.2719952,4.304688,27.78205
1999-04-01,0.2729413,4.275,28.73136
1999-04-05,0.2805098,4.6625,29.42882
1999-04-06,0.2876054,4.571875,29.15759
1999-04-07,0.2809829,4.395313,28.9251
1999-04-08,0.2790907,4.475,29.31258
1999-04-09,0.2781447,4.571875,29.21571
1999-04-12,0.2743604,4.610938,28.82823
1999-04-13,0.2620615,4.459375,27.93704
1999-04-14,0.268684,4.2,26.61962
1999-04-15,0.2705761,4.18125,27.54956
1999-04-16,0.2682109,4.75,26.8521
1999-04-19,0.2563851,3.973438,25.10846
1999-04-20,0.2578042,4.3,25.76717
1999-04-21,0.2601693,4.48125,25.41844
1999-04-22,0.2753065,4.751563,26.32901
1999-04-23,0.296593,5.253125,26.65837
1999-04-26,0.309838,5.179688,27.27833
1999-04-27,0.3462617,5.146875,26.0384
1999-04-28,0.3334898,4.8375,25.45719
1999-04-29,0.3254482,4.20625,25.43781
1999-04-30,0.3481539,4.301563,25.20533
1999-05-03,0.3751169,3.773438,24.75973
1999-05-04,0.3519382,3.575,24.19789
1999-05-05,0.3557224,3.6625,24.52725
1999-05-06,0.336801,3.434375,24.15914
1999-05-07,0.3472078,3.409375,24.50787
1999-05-10,0.3424774,3.671875,24.70161
1999-05-11,0.3386932,3.709375,24.75973
1999-05-12,0.3519382,3.573437,24.95347
1999-05-13,0.349573,3.4,24.52725
1999-05-14,0.3358549,3.309375,23.82979
1999-05-17,0.3358549,3.440625,24.52725
1999-05-18,0.3424774,3.315625,24.39163
1999-05-19,0.3420044,3.489063,24.58537
1999-05-20,0.3216639,3.270313,24.31413
1999-05-21,0.3325437,3.214062,24.0429
1999-05-24,0.3174066,2.9375,23.94603
1999-05-25,0.3140953,2.789063,23.63605
1999-05-26,0.3334898,3.023438,24.33351
1999-05-27,0.3292325,2.864063,24.29476
1999-05-28,0.3334898,2.96875,25.01159
1999-06-01,0.3391662,2.645313,24.33351
1999-06-02,0.3524112,2.803125,24.31413
1999-06-03,0.3590337,2.626563,23.6748
1999-06-04,0.3642371,2.710938,24.66286
1999-06-07,0.3703865,2.934375,24.87597
1999-06-08,0.3609258,2.789063,24.60474
1999-06-09,0.3666022,2.85,25.51531
1999-06-10,0.3642371,2.898438,24.75973
1999-06-11,0.3514651,2.645313,24.21726
1999-06-14,0.3438966,2.3,24.0429
1999-06-15,0.3486269,2.4125,24.08165
1999-06-16,0.362818,2.792187,25.10846
1999-06-17,0.3509921,2.823437,25.68967
1999-06-18,0.3566685,2.782813,26.34838
1999-06-21,0.3519382,3.0875,27.56893
1999-06-22,0.3434235,2.9375,26.81336
1999-06-23,0.3306516,2.94375,26.65837
1999-06-24,0.3202448,2.840625,26.23214
1999-06-25,0.3192987,2.754688,26.32901
1999-06-28,0.3221369,2.767188,26.89085
1999-06-29,0.3434235,2.901562,27.27833
1999-06-30,0.3505191,3.128125,27.95641
1999-07-01,0.3429505,3.059375,28.26639
1999-07-02,0.3505191,3.101563,28.51825
1999-07-06,0.3585607,3.171875,27.76267
1999-07-07,0.3774821,3.046875,28.61512
1999-07-08,0.4124866,3.134375,28.69262
1999-07-09,0.4210013,3.1375,28.90573
1999-07-12,0.4124866,2.934375,29.19633
1999-07-13,0.4063372,3.153125,29.02197
1999-07-14,0.4233665,3.375,29.42882
1999-07-15,0.403026,3.489063,29.25446
1999-07-16,0.4016068,3.440625,30.82373
1999-07-19,0.4120136,3.292187,30.49438
1999-07-20,0.4001877,3.003125,28.9251
1999-07-21,0.4091754,3.135937,29.35132
1999-07-22,0.3964035,2.679688,28.22764
1999-07-23,0.403499,2.864063,27.97578
1999-07-26,0.3855236,2.648438,27.16208
1999-07-27,0.4063372,2.525,27.53019
1999-07-28,0.4115406,2.64375,27.89829
1999-07-29,0.4077563,2.539063,26.94897
1999-07-30,0.4214743,2.501563,26.60024
1999-08-02,0.4219474,2.35,26.29026
1999-08-03,0.4181631,2.371875,26.27089
1999-08-04,0.4072833,2.210938,26.32901
1999-08-05,0.4143788,2.43125,26.58087
1999-08-06,0.4096484,2.239063,26.38713
1999-08-09,0.4120136,2.1375,25.98028
1999-08-10,0.4191091,2.275,25.70905
1999-08-11,0.4517486,2.273438,26.09653
1999-08-12,0.4541138,2.29375,25.34095
1999-08-13,0.4545868,2.435938,26.25151
1999-08-16,0.457898,2.457813,26.13527
1999-08-17,0.4564789,2.73125,26.21277
1999-08-18,0.4550598,2.828125,26.34838
1999-08-19,0.444653,2.653125,25.98028
1999-08-20,0.4479643,2.835938,25.84467
1999-08-23,0.4597902,2.959375,26.79398
1999-08-24,0.4569519,3.001563,28.57637
1999-08-25,0.4645205,3.321875,29.54506
1999-08-26,0.4701969,3.214062,29.33195
